year,npgo,mei,pink,chum,sockeye,total,shannon_neg_1,shannon,evenness,fert,pink_1_oe,pink_2_oe,precip_1,precip_2,precip_3,precip_4,temp_2,temp_3,temp_4
1987,0.429174729,1.66675,555.1429482,1859.805796,743.9219655,3158.87071,-1.006283487,1.006283487,0.915958703,1,0,1,2152.1,2094.7,1996.6,1926.8,12.4,12.5,12.5
1988,1.323636763,-0.474166667,429.9902775,2290.612047,736.6467193,3457.249044,-0.823836535,0.823836535,0.594272442,1,1,0,2037.3,1918.8,1851.7,1917,12.5,12.6,12.6
1989,0.612240617,-0.5235,745.7976576,2004.017905,980.7448458,3730.560408,-0.835912508,0.835912508,0.602983415,0,0,1,1800.3,1758.9,1876.8,1876.8,12.7,12.6,12.6
1990,-0.201546121,0.422083333,600.5938033,2312.75224,992.5469393,3905.892983,-0.729514942,0.729514942,0.664033117,0,1,0,1717.5,1915.1,1902.3,1797.5,12.5,12.5,12.5
1991,-0.498914711,0.800416667,884.5215823,2043.943096,897.0472395,3825.511918,-0.870521618,0.870521618,0.792382924,0,0,1,2112.7,1994.7,1824.1,1719.5,12.3,12.3,12.3
1992,-1.09491887,1.305,599.6149518,1917.81002,913.7068252,3431.131797,-0.817742559,0.817742559,0.744341355,0,1,0,1876.6,1679.9,1588.5,1685,12.4,12.5,12.5
1993,-1.901992588,1.114166667,793.6115368,2423.513453,1036.132472,4253.257462,-0.790703652,0.790703652,0.570372119,0,0,1,1483.1,1444.4,1621.1,1783.3,12.6,12.6,12.6
1994,-1.211598783,0.75525,902.0756304,2835.141072,1028.40435,4765.621053,-0.758062976,0.758062976,0.690018657,0,1,0,1405.7,1690.1,1883.4,1950,12.7,12.4,12.4
1995,-1.039208546,0.226166667,945.8363907,2995.350818,788.6718459,4729.859054,-1.004186848,1.004186848,0.91405026,0,0,1,1974.4,2122.3,2131.5,2145,12.2,12.5,12.5
1996,-0.972836612,-0.297166667,915.4260188,3211.763813,721.6593973,4848.84923,-0.737608897,0.737608897,0.671400552,0,1,0,2270.1,2210,2201.8,2203.5,12.5,12.7,12.7
1997,-0.657690616,1.556166667,895.2813851,2671.985399,691.8140121,4259.080796,-0.739732113,0.739732113,0.673333186,1,0,1,2149.9,2167.7,2181.3,2039.8,13.1,12.7,12.7
1998,0.544553283,0.9015,941.435149,2793.046974,737.6704315,4472.152555,-0.723312778,0.723312778,0.658387663,1,1,0,2185.5,2197.1,2003.1,1904.5,12.6,12.5,12.5
