YYYYMMDD,Sample,Year,Month,Day,Bakun_Index_ 51N_131W,Bakun_Index_ 48N_125W
19670603,154,1967,06,03,85,10
19670604,155,1967,06,04,26,8
19670605,156,1967,06,05,104,44
19670606,157,1967,06,06,162,78
19670607,158,1967,06,07,163,80
19670608,159,1967,06,08,198,106
19670609,160,1967,06,09,61,84
19670610,161,1967,06,10,24,66
19670611,162,1967,06,11,13,31
19670612,163,1967,06,12,21,46
19670613,164,1967,06,13,-7,40
19670614,165,1967,06,14,-7,20
19670615,166,1967,06,15,52,42
19670616,167,1967,06,16,78,65
19670617,168,1967,06,17,22,57
19670618,169,1967,06,18,16,28
19670619,170,1967,06,19,43,63
19670620,171,1967,06,20,130,94
19670621,172,1967,06,21,171,117
19670622,173,1967,06,22,100,52
19670623,174,1967,06,23,39,25
19670624,175,1967,06,24,16,32
19670625,176,1967,06,25,0,53
19670626,177,1967,06,26,-5,37
19670627,178,1967,06,27,-29,21
19670628,179,1967,06,28,18,26
19670629,180,1967,06,29,26,93
19670630,181,1967,06,30,19,51
19670701,182,1967,07,01,33,52
19670702,183,1967,07,02,58,101
19670703,184,1967,07,03,13,144
19670704,185,1967,07,04,43,102
19670705,186,1967,07,05,20,67
19670706,187,1967,07,06,6,59
19670707,188,1967,07,07,12,29
19670708,189,1967,07,08,14,35
19670709,190,1967,07,09,-35,11
19670710,191,1967,07,10,-80,-2
19670711,192,1967,07,11,-24,28
19670712,193,1967,07,12,-8,83
19670713,194,1967,07,13,-36,97
19670714,195,1967,07,14,-9,53
19670715,196,1967,07,15,9,59
19670716,197,1967,07,16,5,41
19670717,198,1967,07,17,-36,28
19670718,199,1967,07,18,-32,-22
19670719,200,1967,07,19,2,-12
19670720,201,1967,07,20,15,16
19670721,202,1967,07,21,23,35
19670722,203,1967,07,22,4,21
19670723,204,1967,07,23,11,43
19670724,205,1967,07,24,48,104
19670725,206,1967,07,25,54,69
19670726,207,1967,07,26,23,66
19670727,208,1967,07,27,-10,27
19670728,209,1967,07,28,-15,14
19670729,210,1967,07,29,8,14
19670730,211,1967,07,30,13,39
19670731,212,1967,07,31,14,24
19670801,213,1967,08,01,23,25
19670802,214,1967,08,02,40,43
19670803,215,1967,08,03,44,48
19670804,216,1967,08,04,55,82
19670805,217,1967,08,05,68,56
19670806,218,1967,08,06,60,68
19670807,219,1967,08,07,-16,72
19670808,220,1967,08,08,-67,25
19670809,221,1967,08,09,-10,13
19670810,222,1967,08,10,1,38
19670811,223,1967,08,11,7,59
19670812,224,1967,08,12,3,18
19670813,225,1967,08,13,1,30
19670814,226,1967,08,14,6,47
19670815,227,1967,08,15,17,35
19670816,228,1967,08,16,22,71
19670817,229,1967,08,17,0,51
19670818,230,1967,08,18,-17,73
19670819,231,1967,08,19,-37,41
19670820,232,1967,08,20,19,21
19670821,233,1967,08,21,-14,18
19670822,234,1967,08,22,5,34
19670823,235,1967,08,23,15,93
19670824,236,1967,08,24,-42,36
19670825,237,1967,08,25,-25,24
19670826,238,1967,08,26,1,25
19670827,239,1967,08,27,-65,9
19670828,240,1967,08,28,-96,-10
19670829,241,1967,08,29,-39,10
19670830,242,1967,08,30,-34,17
19670831,243,1967,08,31,-27,4
19670901,244,1967,09,01,-9,-34
19670902,245,1967,09,02,-75,0
19670903,246,1967,09,03,-60,-22
19670904,247,1967,09,04,-60,-15
19670905,248,1967,09,05,-33,2
19670906,249,1967,09,06,-73,2
19670907,250,1967,09,07,-95,8
19670908,251,1967,09,08,-11,6
19670909,252,1967,09,09,-14,1
19670910,253,1967,09,10,7,2
19670911,254,1967,09,11,-30,4
19670912,255,1967,09,12,-166,-25
19670913,256,1967,09,13,-49,-7
19670914,257,1967,09,14,-49,-34
19670915,258,1967,09,15,-69,-55
19670916,259,1967,09,16,-83,-6
19670917,260,1967,09,17,-106,-13
19670918,261,1967,09,18,-108,26
19670919,262,1967,09,19,-7,19
19670920,263,1967,09,20,-19,11
19670921,264,1967,09,21,29,101
19670922,265,1967,09,22,-126,25
19670923,266,1967,09,23,-51,2
19670924,267,1967,09,24,5,30
19670925,268,1967,09,25,-93,16
19670926,269,1967,09,26,-76,-9
19670927,270,1967,09,27,7,15
19670928,271,1967,09,28,-71,1
19670929,272,1967,09,29,-88,-47
19670930,273,1967,09,30,-33,-65
19671001,274,1967,10,01,7,-78
19671002,275,1967,10,02,-30,-45
19671003,276,1967,10,03,-4,-62
19671004,277,1967,10,04,-14,-165
19671005,278,1967,10,05,-34,-91
19671006,279,1967,10,06,-27,-286
19671007,280,1967,10,07,-157,-179
19671008,281,1967,10,08,-159,-87
19671009,282,1967,10,09,-302,-96
19671010,283,1967,10,10,-83,-124
19671011,284,1967,10,11,15,-18
19671012,285,1967,10,12,-89,-68
19671013,286,1967,10,13,95,-11
19671014,287,1967,10,14,-51,14
19671015,288,1967,10,15,-56,-47
19671016,289,1967,10,16,-31,-9
19671017,290,1967,10,17,-207,-111
19671018,291,1967,10,18,33,28
19671019,292,1967,10,19,-188,-34
19671020,293,1967,10,20,-41,-225
19671021,294,1967,10,21,12,-12
19671022,295,1967,10,22,50,-34
19671023,296,1967,10,23,-246,12
19671024,297,1967,10,24,-6,-137
19671025,298,1967,10,25,-50,-22
19671026,299,1967,10,26,-472,-250
19671027,300,1967,10,27,-15,-106
