Year,Smolts
1976,NA
1977,63000
1978,52000
1979,65900
1980,62962
1981,105256
1982,55250
1983,56453
1984,74409
1985,73572
1986,85381
1987,81898
1988,71505
1989,71620
1990,57238
1991,41551
1992,70537
1993,73909
1994,40993
1995,30000
1996,57544
1997,64557
1998,21694
1999,52000
2000,74400
2001,59993
2002,60213
2003,93630
2004,22482
2005,58900
2006,51300
2007,56187
2008,72208
2009,78151
2010,62300
2011,89778
2012,108063
2013,111042
2014,66785
2015,111718
2016,92073
2017,NA
2018,NA
