Year,Adults
1970,NA
1971,NA
1972,NA
1973,NA
1974,NA
1975,NA
1976,617
1977,334
1978,339
1979,161
1980,118
1981,268
1982,435
1983,1043
1984,677
1985,283
1986,646
1987,1151
1988,850
1989,542
1990,708
1991,99
1992,296
1993,105
1994,83
1995,149
1996,45
1997,20
1998,15
1999,38
2000,88
2001,70
2002,65
2003,90
2004,55
2005,27
2006,75
2007,65
2008,22
2009,19
2010,25
2011,31
2012,90
2013,99
2014,105
2015,97
2016,83
2017,26
2018,NA
